"","Country.Code","Country.Name","gdp","milexp","population"
"3","AFG","Afghanistan",20.6219464757248,0.279576954925193,38928341
"5","AGO","Angola",104.128680882974,0.993594404625879,32866268
"6","ALB","Albania",12.4578625709615,0.222022691273437,2837743
"10","ARG","Argentina",514.772410744886,2.90718537414966,45376763
"11","ARM","Armenia",11.9153010053428,0.63396040011526,2963234
"14","AUS","Australia",1490.96783628724,27.536235375086,25687041
"15","AUT","Austria",386.35882835998,3.60161860253049,8917205
"16","AZE","Azerbaijan",51.3071859727133,2.23776470588235,10093121
"17","BDI","Burundi",3.21873273547832,0.067474092716297,11890781
"18","BEL","Belgium",466.648941451321,5.46118773509632,11555997
"19","BEN","Benin",14.7255586734836,0.0718178184788086,12123198
