"Year","Age","Ethnic","Sex","count"
2018,95,"European","Female",4146
2018,95,"Maori","Male",48
2018,95,"Maori","Female",90
2018,95,"Pacific Peoples","Male",27
2018,95,"Pacific Peoples","Female",48
2018,95,"Asian","Male",57
2018,95,"Asian","Female",96
2018,95,"MELAA","Male",6
2018,95,"MELAA","Female",9
2018,95,"Other","Male",6
2018,95,"Other","Female",18
2018,95,"Not Elsewhere Included","Male",0
2018,95,"Not Elsewhere Included","Female",3
2018,100,"European","Male",105
2018,100,"European","Female",513
2018,100,"Maori","Male",3
2018,100,"Maori","Female",12
2018,100,"Pacific Peoples","Male",3
2018,100,"Pacific Peoples","Female",3
2018,100,"Asian","Male",3
2018,100,"Asian","Female",12
2018,100,"MELAA","Male",0
2018,100,"MELAA","Female",3
2018,100,"Other","Male",0
2018,100,"Other","Female",3
2018,100,"Not Elsewhere Included","Male",0
2018,100,"Not Elsewhere Included","Female",0
2018,0,"New Zealander","Male",1494
2018,0,"New Zealander","Female",1365
2018,0,"Other NEC","Male",306
2018,0,"Other NEC","Female",294
2018,5,"New Zealander","Male",1890
2018,5,"New Zealander","Female",1713
2018,5,"Other NEC","Male",357
2018,5,"Other NEC","Female",342
2018,10,"New Zealander","Male",1707
2018,10,"New Zealander","Female",1512
2018,10,"Other NEC","Male",345
2018,10,"Other NEC","Female",354
2018,15,"New Zealander","Male",1194
2018,15,"New Zealander","Female",948
2018,15,"Other NEC","Male",366
2018,15,"Other NEC","Female",381
2018,20,"New Zealander","Male",1167
2018,20,"New Zealander","Female",711
2018,20,"Other NEC","Male",600
2018,20,"Other NEC","Female",582
2018,25,"New Zealander","Male",1578
2018,25,"New Zealander","Female",891
2018,25,"Other NEC","Male",792
2018,25,"Other NEC","Female",768
2018,30,"New Zealander","Male",1452
2018,30,"New Zealander","Female",912
2018,30,"Other NEC","Male",765
2018,30,"Other NEC","Female",690
2018,35,"New Zealander","Male",1641
2018,35,"New Zealander","Female",996
2018,35,"Other NEC","Male",621
2018,35,"Other NEC","Female",585
2018,40,"New Zealander","Male",2073
2018,40,"New Zealander","Female",1305
2018,40,"Other NEC","Male",639
2018,40,"Other NEC","Female",513
2018,45,"New Zealander","Male",2484
2018,45,"New Zealander","Female",1638
2018,45,"Other NEC","Male",570
2018,45,"Other NEC","Female",549
2018,50,"New Zealander","Male",2313
2018,50,"New Zealander","Female",1728
2018,50,"Other NEC","Male",495
2018,50,"Other NEC","Female",456
2018,55,"New Zealander","Male",2346
2018,55,"New Zealander","Female",1776
2018,55,"Other NEC","Male",366
2018,55,"Other NEC","Female",333
2018,60,"New Zealander","Male",1785
2018,60,"New Zealander","Female",1284
2018,60,"Other NEC","Male",186
2018,60,"Other NEC","Female",195
2018,65,"New Zealander","Male",1314
2018,65,"New Zealander","Female",954
2018,65,"Other NEC","Male",105
2018,65,"Other NEC","Female",123
2018,70,"New Zealander","Male",882
2018,70,"New Zealander","Female",696
2018,70,"Other NEC","Male",66
2018,70,"Other NEC","Female",84
2018,75,"New Zealander","Male",477
2018,75,"New Zealander","Female",435
2018,75,"Other NEC","Male",30
2018,75,"Other NEC","Female",42
2018,80,"New Zealander","Male",225
2018,80,"New Zealander","Female",198
2018,80,"Other NEC","Male",15
2018,80,"Other NEC","Female",27
2018,85,"New Zealander","Male",93
2018,85,"New Zealander","Female",150
2018,85,"Other NEC","Male",9
2018,85,"Other NEC","Female",9
2018,90,"New Zealander","Male",36
2018,90,"New Zealander","Female",57
2018,90,"Other NEC","Male",0
2018,90,"Other NEC","Female",3
2018,95,"New Zealander","Male",6
2018,95,"New Zealander","Female",18
2018,95,"Other NEC","Male",0
2018,95,"Other NEC","Female",0
2018,100,"New Zealander","Male",0
2018,100,"New Zealander","Female",3
2018,100,"Other NEC","Male",0
2018,100,"Other NEC","Female",0
2013,0,"European","Male",101346
2013,0,"European","Female",96666
2013,0,"Maori","Male",36498
2013,0,"Maori","Female",34722
2013,0,"Pacific Peoples","Male",19476
2013,0,"Pacific Peoples","Female",18519
2013,0,"Asian","Male",18555
2013,0,"Asian","Female",17670
2013,0,"MELAA","Male",2382
2013,0,"MELAA","Female",2319
2013,0,"Other","Male",2280
2013,0,"Other","Female",2136
2013,0,"Not Elsewhere Included","Male",7593
2013,0,"Not Elsewhere Included","Female",7878
2013,5,"European","Male",99444
2013,5,"European","Female",95826
2013,5,"Maori","Male",34431
2013,5,"Maori","Female",32763
2013,5,"Pacific Peoples","Male",17730
2013,5,"Pacific Peoples","Female",16908
2013,5,"Asian","Male",15990
2013,5,"Asian","Female",15048
2013,5,"MELAA","Male",1986
2013,5,"MELAA","Female",1911
2013,5,"Other","Male",2409
2013,5,"Other","Female",2217
2013,5,"Not Elsewhere Included","Male",7107
2013,5,"Not Elsewhere Included","Female",7233
2013,10,"European","Male",98658
2013,10,"European","Female",94380
2013,10,"Maori","Male",32922
2013,10,"Maori","Female",31248
2013,10,"Pacific Peoples","Male",16854
2013,10,"Pacific Peoples","Female",16377
2013,10,"Asian","Male",15822
2013,10,"Asian","Female",15108
2013,10,"MELAA","Male",1815
2013,10,"MELAA","Female",1677
2013,10,"Other","Male",1944
2013,10,"Other","Female",1764
2013,10,"Not Elsewhere Included","Male",7092
2013,10,"Not Elsewhere Included","Female",7146
2013,15,"European","Male",99540
2013,15,"European","Female",97488
2013,15,"Maori","Male",29745
2013,15,"Maori","Female",28950
2013,15,"Pacific Peoples","Male",15660
2013,15,"Pacific Peoples","Female",15558
2013,15,"Asian","Male",20262
2013,15,"Asian","Female",19527
2013,15,"MELAA","Male",2226
2013,15,"MELAA","Female",2055
2013,15,"Other","Male",1635
2013,15,"Other","Female",1176
2013,15,"Not Elsewhere Included","Male",8727
2013,15,"Not Elsewhere Included","Female",8619
2013,20,"European","Male",91962
2013,20,"European","Female",96528
2013,20,"Maori","Male",22956
2013,20,"Maori","Female",25509
2013,20,"Pacific Peoples","Male",13059
2013,20,"Pacific Peoples","Female",13590
2013,20,"Asian","Male",25725
2013,20,"Asian","Female",23286
2013,20,"MELAA","Male",2712
2013,20,"MELAA","Female",2304
2013,20,"Other","Male",2226
2013,20,"Other","Female",1446
2013,20,"Not Elsewhere Included","Male",11250
2013,20,"Not Elsewhere Included","Female",10533
2013,25,"European","Male",76941
2013,25,"European","Female",84255
2013,25,"Maori","Male",16746
2013,25,"Maori","Female",20457
2013,25,"Pacific Peoples","Male",10212
2013,25,"Pacific Peoples","Female",10413
2013,25,"Asian","Male",25272
2013,25,"Asian","Female",26646
2013,25,"MELAA","Male",2757
2013,25,"MELAA","Female",2676
2013,25,"Other","Male",2262
2013,25,"Other","Female",1395
2013,25,"Not Elsewhere Included","Male",9768
2013,25,"Not Elsewhere Included","Female",8994
2013,30,"European","Male",76167
2013,30,"European","Female",86064
2013,30,"Maori","Male",15510
2013,30,"Maori","Female",18924
2013,30,"Pacific Peoples","Male",9288
2013,30,"Pacific Peoples","Female",9642
2013,30,"Asian","Male",23205
2013,30,"Asian","Female",25413
2013,30,"MELAA","Male",2727
2013,30,"MELAA","Female",2820
2013,30,"Other","Male",2433
2013,30,"Other","Female",1542
2013,30,"Not Elsewhere Included","Male",8361
2013,30,"Not Elsewhere Included","Female",8031
2013,35,"European","Male",85434
2013,35,"European","Female",96972
2013,35,"Maori","Male",16230
2013,35,"Maori","Female",19581
2013,35,"Pacific Peoples","Male",8745
2013,35,"Pacific Peoples","Female",9270
2013,35,"Asian","Male",16830
2013,35,"Asian","Female",19857
2013,35,"MELAA","Male",2079
2013,35,"MELAA","Female",2148
2013,35,"Other","Male",2985
2013,35,"Other","Female",1941
2013,35,"Not Elsewhere Included","Male",7833
2013,35,"Not Elsewhere Included","Female",7257
2013,40,"European","Male",100950
2013,40,"European","Female",114027
2013,40,"Maori","Male",17358
2013,40,"Maori","Female",20568
2013,40,"Pacific Peoples","Male",8529
2013,40,"Pacific Peoples","Female",9120
2013,40,"Asian","Male",15561
2013,40,"Asian","Female",20298
2013,40,"MELAA","Male",1863
2013,40,"MELAA","Female",1728
2013,40,"Other","Male",3759
2013,40,"Other","Female",2499
2013,40,"Not Elsewhere Included","Male",8595
2013,40,"Not Elsewhere Included","Female",8109
2013,45,"European","Male",102915
2013,45,"European","Female",112230
2013,45,"Maori","Male",16377
2013,45,"Maori","Female",18669
2013,45,"Pacific Peoples","Male",7800
2013,45,"Pacific Peoples","Female",8502
2013,45,"Asian","Male",14691
2013,45,"Asian","Female",18240
2013,45,"MELAA","Male",1506
2013,45,"MELAA","Female",1470
2013,45,"Other","Male",3570
2013,45,"Other","Female",2613
2013,45,"Not Elsewhere Included","Male",8172
2013,45,"Not Elsewhere Included","Female",7950
2013,50,"European","Male",106680
2013,50,"European","Female",115122
2013,50,"Maori","Male",15255
2013,50,"Maori","Female",17769
2013,50,"Pacific Peoples","Male",6309
2013,50,"Pacific Peoples","Female",6876
2013,50,"Asian","Male",12681
2013,50,"Asian","Female",15828
2013,50,"MELAA","Male",1191
2013,50,"MELAA","Female",1134
2013,50,"Other","Male",3654
2013,50,"Other","Female",2646
2013,50,"Not Elsewhere Included","Male",8400
2013,50,"Not Elsewhere Included","Female",8148
2013,55,"European","Male",96516
2013,55,"European","Female",102570
2013,55,"Maori","Male",11664
2013,55,"Maori","Female",13500
2013,55,"Pacific Peoples","Male",4896
2013,55,"Pacific Peoples","Female",5193
2013,55,"Asian","Male",10575
2013,55,"Asian","Female",13530
2013,55,"MELAA","Male",849
2013,55,"MELAA","Female",861
2013,55,"Other","Male",3060
2013,55,"Other","Female",2184
2013,55,"Not Elsewhere Included","Male",7077
2013,55,"Not Elsewhere Included","Female",6933
2013,60,"European","Male",91461
2013,60,"European","Female",96837
2013,60,"Maori","Male",9039
2013,60,"Maori","Female",10212
2013,60,"Pacific Peoples","Male",3945
2013,60,"Pacific Peoples","Female",4167
2013,60,"Asian","Male",8232
2013,60,"Asian","Female",9657
2013,60,"MELAA","Male",600
2013,60,"MELAA","Female",513
2013,60,"Other","Male",2583
2013,60,"Other","Female",1851
2013,60,"Not Elsewhere Included","Male",6441
2013,60,"Not Elsewhere Included","Female",6366
2013,65,"European","Male",81477
2013,65,"European","Female",85560
2013,65,"Maori","Male",6099
2013,65,"Maori","Female",6897
2013,65,"Pacific Peoples","Male",2685
2013,65,"Pacific Peoples","Female",2937
2013,65,"Asian","Male",5493
2013,65,"Asian","Female",6192
2013,65,"MELAA","Male",360
2013,65,"MELAA","Female",354
2013,65,"Other","Male",2040
2013,65,"Other","Female",1449
2013,65,"Not Elsewhere Included","Male",5100
2013,65,"Not Elsewhere Included","Female",5388
2013,70,"European","Male",61428
2013,70,"European","Female",66345
2013,70,"Maori","Male",4308
2013,70,"Maori","Female",4944
2013,70,"Pacific Peoples","Male",1779
2013,70,"Pacific Peoples","Female",2145
2013,70,"Asian","Male",3894
2013,70,"Asian","Female",4320
2013,70,"MELAA","Male",213
